"rgn_id","year","jobs"
1,1990,64176.5325170255
2,1990,2794576.34433022
3,1990,488947.029933231
4,1990,3176934.56022922
5,1990,822010.501169254
6,1990,4601246.24242076
7,1990,1309230.39819477
8,1990,1538788.88046617
9,1990,374723.294834469
10,1990,642506.468692091
1,1991,64762.6941140148
2,1991,2820100.83542775
3,1991,493412.867532557
4,1991,3205951.35129472
5,1991,829518.401163376
6,1991,4643272.10046915
7,1991,1321188.36087886
8,1991,1552843.53428163
9,1991,378145.860627829
10,1991,648374.853956823
1,1992,65148.8487732814
2,1992,2836915.99563842
3,1992,496354.895815141
4,1992,3225067.18748129
5,1992,834464.495515052
6,1992,4670958.11910022
7,1992,1329066.0912343
8,1992,1562102.53398938
9,1992,380400.596752715
10,1992,652240.860061602
1,1993,65888.3441188413
2,1993,2869117.42688427
3,1993,501988.94986387
4,1993,3261674.4678733
5,1993,843936.383692475
6,1993,4723977.50245725
7,1993,1344152.13199965
8,1993,1579833.73837632
9,1993,384718.469992898
10,1993,659644.353588833
1,1994,66831.3127547183
2,1994,2910179.13183955
3,1994,509173.222615128
4,1994,3308354.298195
5,1994,856014.476580378
6,1994,4791585.25130841
7,1994,1363389.12026023
8,1994,1602443.71112813
9,1994,390224.412746468
10,1994,669084.92983318
1,1995,67444.4969504823
2,1995,2936880.32588965
3,1995,513844.939511663
4,1995,3338708.79051339
5,1995,863868.497798107
6,1995,4835548.54078533
7,1995,1375898.35622703
8,1995,1617146.29765178
9,1995,393804.76202938
10,1995,675223.853156492
1,1996,68408.8398884362
2,1996,2978872.77790492
3,1996,521192.058417231
4,1996,3386446.71413346
5,1996,876220.365227471
6,1996,4904688.75677454
7,1996,1395571.38995348
8,1996,1640268.77142342
9,1996,399435.508174236
10,1996,684878.419263014
1,1997,69351.041530004
2,1997,3019901.08398263
3,1997,528370.487605822
4,1997,3433088.575892
5,1997,888288.634004413
6,1997,4972241.51465713
7,1997,1414792.73118194
8,1997,1662860.35361613
9,1997,404936.972489608
10,1997,694311.316706624
1,1998,70307.3295381122
2,1998,3061542.78291856
3,1998,535656.237754465
4,1998,3480427.75585916
5,1998,900537.329189037
6,1998,5040804.21867689
7,1998,1434301.44068276
8,1998,1685789.69080039
9,1998,410520.686335692
10,1998,703885.240492226
1,1999,71610.3075742916
2,1999,3118281.14902026
3,1999,545583.343752115
4,1999,3544929.15211736
5,1999,917226.632685579
6,1999,5134223.45710858
7,1999,1460882.78414649
8,1999,1717031.76691338
9,1999,418128.704464197
10,1999,716930.068312845
1,2000,73806.1440544943
2,2000,3213899.16456144
3,2000,562312.943858342
4,2000,3653629.77100351
5,2000,945352.18847341
6,2000,5291657.7084967
7,2000,1505678.84520796
8,2000,1769682.30172003
9,2000,430950.074652139
10,2000,738913.79176107
1,2001,73801.221352245
2,2001,3213684.80478355
3,2001,562275.438861583
4,2001,3653386.08219248
5,2001,945289.135628634
6,2001,5291304.76694098
7,2001,1505578.41984727
8,2001,1769564.26792815
9,2001,430921.331260528
10,2001,738864.507888686
1,2002,76540.1994022976
2,2002,3332953.9981493
3,2002,583143.116345876
4,2002,3788973.8692798
5,2002,980371.565783583
6,2002,5487680.48196632
7,2002,1561454.81550897
8,2002,1835237.94648259
9,2002,446914.075635159
10,2002,766285.919512905
1,2003,79462.7482582791
2,2003,3460216.80867757
3,2003,605409.37983694
4,2003,3933648.97247368
5,2003,1017805.2780079
6,2003,5697217.61983379
7,2003,1621076.13894905
8,2003,1905313.18280064
9,2003,463978.679995602
10,2003,795545.159166257
1,2004,82542.7356128474
2,2004,3594335.30128434
3,2004,628875.132974173
4,2004,4086117.76266893
5,2004,1057255.55445049
6,2004,5918042.58008154
7,2004,1683909.27923419
8,2004,1979163.39108244
9,2004,481962.559215722
10,2004,826380.601986029
1,2005,85387.0567490792
2,2005,3718191.67449807
3,2005,650545.396498739
4,2005,4226920.35457725
5,2005,1093687.28036308
6,2005,6121971.04781003
7,2005,1741934.72167757
8,2005,2047362.92703816
9,2005,498570.396160689
10,2005,854856.661028044
1,2006,88126.2487623499
2,2006,3837470.18492294
3,2006,671414.704122211
4,2006,4362518.733498
5,2006,1128772.45108386
6,2006,6318362.10329416
7,2006,1797815.48228605
8,2006,2113041.73588257
9,2006,514564.389854953
10,2006,882280.214755401
1,2007,90354.3081821939
2,2007,3934491.35300812
3,2007,688389.80379059
4,2007,4472814.48640844
5,2007,1157310.73709759
6,2007,6478106.63344197
7,2007,1843268.90594478
8,2007,2166464.89425225
9,2007,527573.908040895
10,2007,904586.539727077
1,2008,92885.4667923925
2,2008,4044711.01895739
3,2008,707674.150205195
4,2008,4598114.57587694
5,2008,1189731.29452108
6,2008,6659582.37835008
7,2008,1894905.69068763
8,2008,2227155.59490729
9,2008,542353.205970564
10,2008,929927.356947247
1,2009,93649.6144097858
2,2009,4077985.93692802
3,2009,713496.024546193
4,2009,4635942.21909169
5,2009,1199518.94339061
6,2009,6714369.24849227
7,2009,1910494.64899001
8,2009,2245477.89763326
9,2009,546815.022489766
10,2009,937577.657889895
1,2010,94167.0532390821
2,2010,4100517.88521622
3,2010,717438.2783395
4,2010,4661557.02305698
5,2010,1206146.60204888
6,2010,6751467.91019311
7,2010,1921050.63601442
8,2010,2257884.75549258
9,2010,549836.319767517
10,2010,942758.021831919
1,2011,94389.5919186645
2,2011,4110208.36404498
3,2011,719133.75209228
4,2011,4672573.36804205
5,2011,1208997.00739735
6,2011,6767423.20137295
7,2011,1925590.52610596
8,2011,2263220.66306166
9,2011,551135.711055432
10,2011,944985.978618583
1,2012,94480.4963472298
2,2012,4114166.81046923
3,2012,719826.333143507
4,2012,4677073.41516925
5,2012,1210161.36439753
6,2012,6773940.74982798
7,2012,1927445.01771746
8,2012,2265400.31843372
9,2012,551666.497086572
10,2012,945896.072715214
