"rgn_id","year","count"
2,1990,2794576.34433022
9,1990,374723.294834469
6,1990,4601246.24242076
1,1990,64176.5325170255
4,1990,3176934.56022922
8,1990,1538788.88046617
5,1990,822010.501169254
7,1990,1309230.39819477
10,1990,642506.468692091
3,1990,488947.029933231
2,1991,2820100.83542775
9,1991,378145.860627829
6,1991,4643272.10046915
1,1991,64762.6941140148
4,1991,3205951.35129472
8,1991,1552843.53428163
5,1991,829518.401163376
7,1991,1321188.36087886
10,1991,648374.853956823
3,1991,493412.867532557
2,1992,2836915.99563842
9,1992,380400.596752715
6,1992,4670958.11910022
1,1992,65148.8487732814
4,1992,3225067.18748129
8,1992,1562102.53398938
5,1992,834464.495515052
7,1992,1329066.0912343
10,1992,652240.860061602
3,1992,496354.895815141
2,1993,2869117.42688427
9,1993,384718.469992898
6,1993,4723977.50245725
1,1993,65888.3441188413
4,1993,3261674.4678733
8,1993,1579833.73837632
5,1993,843936.383692475
7,1993,1344152.13199965
10,1993,659644.353588833
3,1993,501988.94986387
2,1994,2910179.13183955
9,1994,390224.412746468
6,1994,4791585.25130841
1,1994,66831.3127547183
4,1994,3308354.298195
8,1994,1602443.71112813
5,1994,856014.476580378
7,1994,1363389.12026023
10,1994,669084.92983318
3,1994,509173.222615128
2,1995,2936880.32588965
9,1995,393804.76202938
6,1995,4835548.54078533
1,1995,67444.4969504823
4,1995,3338708.79051339
8,1995,1617146.29765178
5,1995,863868.497798107
7,1995,1375898.35622703
10,1995,675223.853156492
3,1995,513844.939511663
2,1996,2978872.77790492
9,1996,399435.508174236
6,1996,4904688.75677454
1,1996,68408.8398884362
4,1996,3386446.71413346
8,1996,1640268.77142342
5,1996,876220.365227471
7,1996,1395571.38995348
10,1996,684878.419263014
3,1996,521192.058417231
2,1997,3019901.08398263
9,1997,404936.972489608
6,1997,4972241.51465713
1,1997,69351.041530004
4,1997,3433088.575892
8,1997,1662860.35361613
5,1997,888288.634004413
7,1997,1414792.73118194
10,1997,694311.316706624
3,1997,528370.487605822
2,1998,3061542.78291856
9,1998,410520.686335692
6,1998,5040804.21867689
1,1998,70307.3295381122
4,1998,3480427.75585916
8,1998,1685789.69080039
5,1998,900537.329189037
7,1998,1434301.44068276
10,1998,703885.240492226
3,1998,535656.237754465
2,1999,3118281.14902026
9,1999,418128.704464197
6,1999,5134223.45710858
1,1999,71610.3075742916
4,1999,3544929.15211736
8,1999,1717031.76691338
5,1999,917226.632685579
7,1999,1460882.78414649
10,1999,716930.068312845
3,1999,545583.343752115
2,2000,3213899.16456144
9,2000,430950.074652139
6,2000,5291657.7084967
1,2000,73806.1440544943
4,2000,3653629.77100351
8,2000,1769682.30172003
