"rgn_id","type","label"
1,"eez","Ceuta y Melilla"
2,"eez","Andalucía"
3,"eez","Región de Murcia"
4,"eez","Comunidad Valenciana"
5,"eez","Islas Baleares"
6,"eez","Cataluña"
7,"eez","País Vasco"
8,"eez","Galicia"
9,"eez","Cantabria"
10,"eez","Principado de Asturias"
