"rgn_id","habitat","km2"
2,"mangrove",0
9,"mangrove",0
6,"mangrove",0
1,"mangrove",0
4,"mangrove",0
8,"mangrove",0
5,"mangrove",0
7,"mangrove",0
10,"mangrove",0
3,"mangrove",0
2,"rocky_reef",54.1415
9,"rocky_reef",54.1415
6,"rocky_reef",54.1415
1,"rocky_reef",54.1415
4,"rocky_reef",54.1415
8,"rocky_reef",54.1415
5,"rocky_reef",54.1415
7,"rocky_reef",54.1415
10,"rocky_reef",54.1415
3,"rocky_reef",54.1415
2,"seagrass",509.105
9,"seagrass",509.105
6,"seagrass",509.105
1,"seagrass",509.105
4,"seagrass",509.105
8,"seagrass",509.105
5,"seagrass",509.105
7,"seagrass",509.105
10,"seagrass",509.105
3,"seagrass",509.105
2,"soft_bottom",66099
9,"soft_bottom",66099
6,"soft_bottom",66099
1,"soft_bottom",66099
4,"soft_bottom",66099
8,"soft_bottom",66099
5,"soft_bottom",66099
7,"soft_bottom",66099
10,"soft_bottom",66099
3,"soft_bottom",66099
