"rgn_id","year","usd"
1,1998,2438463392.12735
2,1998,106183239338.25
3,1998,18578121727.9896
4,1998,120711392785.953
5,1998,31233262945.6682
6,1998,174829802737.161
7,1998,49745760212.4471
8,1998,58468106737.2087
9,1998,14238055575.6699
10,1998,24412794547.5247
1,2002,2785284697.17085
2,2002,121285622978.674
3,2002,21220477747.6701
4,2002,137880107688.463
5,2002,35675552729.7002
6,2002,199695749276.1
7,2002,56821072285.1906
8,2002,66783993351.4958
9,2002,16263126377.2158
10,2002,27885012868.3192
1,2004,4239477204.45935
2,2004,184608644986.643
3,2004,32299653881.1149
4,2004,209867082559.778
5,2004,54301699466.3703
6,2004,303956567794.81
7,2004,86487259607.8557
8,2004,101651805190.335
9,2004,24754077606.3148
10,2004,42443731702.3193
1,2005,4589273339.14345
2,2005,199840568011.886
3,2005,34964674480.2029
4,2005,227183060624.154
5,2005,58782092605.4428
6,2005,329035799831.871
7,2005,93623259555.7799
8,2005,110039020600.253
9,2005,26796518276.8887
10,2005,45945732674.3786
1,2006,5017640690.52883
2,2006,218493885975.853
3,2006,38228312074.2827
4,2006,248388554123.34
5,2006,64268871765.7757
6,2006,359748329609.244
7,2006,102362147994.153
8,2006,120310172549.631
9,2006,29297732023.0203
10,2006,50234353194.1705
1,2007,5849943640.99889
2,2007,254736637733.792
3,2007,44569447060.4872
4,2007,289590094690.019
5,2007,74929493937.2686
6,2007,419421712903.832
7,2007,119341506032.444
8,2007,140266665602.956
9,2007,34157503837.8632
10,2007,58566994560.3374
1,2008,6466784510.13261
2,2008,281597062152.015
3,2008,49269023355.3634
4,2008,320125603519.401
5,2008,82830351962.65
6,2008,463647173831.004
7,2008,131925339796.048
8,2008,155056929788.517
9,2008,37759204238.3799
10,2008,64742526846.4877
1,2009,5908912637.831
2,2009,257304451187.288
3,2009,45018719009.7243
4,2009,292509240313.356
5,2009,75684803280.7043
6,2009,423649595970.296
7,2009,120544500338.551
8,2009,141680591115.268
9,2009,34501820614.0952
10,2009,59157365532.8867
1,2010,5601080675.70328
2,2010,243899864095.228
3,2010,42673414305.6887
4,2010,277270617083.481
5,2010,71741911766.6233
6,2010,401579057044.538
7,2010,114264588561.662
8,2010,134299569084.379
9,2010,32704406472.5123
10,2010,56075490910.1845
1,2011,5993815006.29128
2,2011,261001537040.497
3,2011,45665571671.6679
4,2011,296712167115.847
5,2011,76772282390.4548
6,2011,429736816462.41
7,2011,122276547199.098
8,2011,143716332458.527
9,2011,34997560941.609
10,2011,60007369713.5977
