"rgn_id","rgn_name","area_km2"
1,"Ceuta y Melilla",25.4804974551
2,"Andalucía",938.29855217
3,"Región de Murcia",176.993675737
4,"Comunidad Valenciana",430.797376001
5,"Islas Baleares",787.081615485
6,"Cataluña",493.803502486
7,"País Vasco",186.447718446
8,"Galicia",1003.95971061
9,"Cantabria",235.709492661
10,"Principado de Asturias",299.644351315
