"rgn_id","year","area_km2"
2,0,50
9,0,50
6,0,50
1,0,50
4,0,50
8,0,50
5,0,50
7,0,50
10,0,50
3,0,50
2,1969,2
9,1969,2
6,1969,2
1,1969,2
4,1969,2
8,1969,2
5,1969,2
7,1969,2
10,1969,2
3,1969,2
2,1983,2
9,1983,2
6,1983,2
1,1983,2
4,1983,2
8,1983,2
5,1983,2
7,1983,2
10,1983,2
3,1983,2
2,1984,2
9,1984,2
6,1984,2
1,1984,2
4,1984,2
8,1984,2
5,1984,2
7,1984,2
10,1984,2
3,1984,2
2,1987,115
9,1987,115
6,1987,115
1,1987,115
4,1987,115
8,1987,115
5,1987,115
7,1987,115
10,1987,115
3,1987,115
2,1988,139
9,1988,139
6,1988,139
1,1988,139
4,1988,139
8,1988,139
5,1988,139
7,1988,139
10,1988,139
3,1988,139
2,1989,102
9,1989,102
6,1989,102
1,1989,102
4,1989,102
8,1989,102
5,1989,102
7,1989,102
10,1989,102
3,1989,102
2,1990,96
9,1990,96
6,1990,96
1,1990,96
4,1990,96
8,1990,96
5,1990,96
7,1990,96
10,1990,96
3,1990,96
2,1991,22
9,1991,22
6,1991,22
1,1991,22
4,1991,22
8,1991,22
5,1991,22
7,1991,22
10,1991,22
3,1991,22
2,1992,13
9,1992,13
6,1992,13
1,1992,13
4,1992,13
8,1992,13
5,1992,13
7,1992,13
10,1992,13
3,1992,13
2,1993,57
9,1993,57
6,1993,57
1,1993,57
4,1993,57
8,1993,57
5,1993,57
7,1993,57
10,1993,57
3,1993,57
2,1994,70
9,1994,70
6,1994,70
1,1994,70
4,1994,70
8,1994,70
5,1994,70
7,1994,70
10,1994,70
3,1994,70
2,1995,10
9,1995,10
6,1995,10
1,1995,10
4,1995,10
8,1995,10
5,1995,10
7,1995,10
10,1995,10
3,1995,10
2,1996,3
9,1996,3
6,1996,3
1,1996,3
4,1996,3
8,1996,3
5,1996,3
7,1996,3
10,1996,3
3,1996,3
2,1997,734
9,1997,734
6,1997,734
1,1997,734
4,1997,734
8,1997,734
5,1997,734
7,1997,734
10,1997,734
3,1997,734
2,1998,2
9,1998,2
6,1998,2
1,1998,2
4,1998,2
8,1998,2
5,1998,2
7,1998,2
10,1998,2
3,1998,2
2,1999,356
9,1999,356
6,1999,356
1,1999,356
4,1999,356
8,1999,356
5,1999,356
7,1999,356
10,1999,356
3,1999,356
2,2000,557
9,2000,557
6,2000,557
1,2000,557
4,2000,557
8,2000,557
5,2000,557
7,2000,557
10,2000,557
3,2000,557
2,2001,73
9,2001,73
6,2001,73
1,2001,73
4,2001,73
8,2001,73
5,2001,73
7,2001,73
10,2001,73
3,2001,73
2,2002,22
9,2002,22
6,2002,22
1,2002,22
4,2002,22
8,2002,22
5,2002,22
7,2002,22
10,2002,22
3,2002,22
2,2003,164
9,2003,164
6,2003,164
1,2003,164
4,2003,164
8,2003,164
5,2003,164
7,2003,164
10,2003,164
3,2003,164
2,2004,150
9,2004,150
6,2004,150
1,2004,150
4,2004,150
8,2004,150
5,2004,150
7,2004,150
10,2004,150
3,2004,150
2,2005,2
9,2005,2
6,2005,2
1,2005,2
4,2005,2
8,2005,2
5,2005,2
7,2005,2
10,2005,2
3,2005,2
2,2006,36
9,2006,36
6,2006,36
1,2006,36
4,2006,36
8,2006,36
5,2006,36
7,2006,36
10,2006,36
3,2006,36
2,2007,19
9,2007,19
6,2007,19
1,2007,19
4,2007,19
8,2007,19
5,2007,19
7,2007,19
10,2007,19
3,2007,19
2,2009,12
9,2009,12
6,2009,12
1,2009,12
4,2009,12
8,2009,12
5,2009,12
7,2009,12
10,2009,12
3,2009,12
2,2010,1
9,2010,1
6,2010,1
1,2010,1
4,2010,1
8,2010,1
5,2010,1
7,2010,1
10,2010,1
3,2010,1
2,2011,2
9,2011,2
6,2011,2
1,2011,2
4,2011,2
8,2011,2
5,2011,2
7,2011,2
10,2011,2
3,2011,2
