"goal","dimension","region_id","score"
"AO","future",0,77.35
"AO","future",1,77.38
"AO","future",2,77.34
"AO","future",3,77.37
"AO","future",4,77.33
"AO","future",5,77.36
"AO","future",6,77.31
"AO","future",7,77.36
"AO","future",8,77.35
"AO","future",9,77.37
"AO","future",10,77.37
"AO","pressures",1,21.19
"AO","pressures",2,21.37
"AO","pressures",3,21.22
"AO","pressures",4,21.39
"AO","pressures",5,21.24
"AO","pressures",6,21.48
"AO","pressures",7,21.27
"AO","pressures",8,21.29
"AO","pressures",9,21.21
"AO","pressures",10,21.23
"AO","resilience",1,73.62
"AO","resilience",2,73.62
"AO","resilience",3,73.62
"AO","resilience",4,73.62
"AO","resilience",5,73.62
"AO","resilience",6,73.62
"AO","resilience",7,73.62
"AO","resilience",8,73.62
"AO","resilience",9,73.62
"AO","resilience",10,73.62
"AO","score",0,71.92
"AO","score",1,71.93
"AO","score",2,71.91
"AO","score",3,71.93
"AO","score",4,71.91
"AO","score",5,71.92
"AO","score",6,71.9
"AO","score",7,71.92
"AO","score",8,71.92
"AO","score",9,71.93
"AO","score",10,71.93
"AO","status",0,66.48
"AO","status",1,66.48
"AO","status",2,66.48
"AO","status",3,66.48
"AO","status",4,66.48
"AO","status",5,66.48
"AO","status",6,66.48
"AO","status",7,66.48
"AO","status",8,66.48
"AO","status",9,66.48
"AO","status",10,66.48
"AO","trend",1,-0.01
"AO","trend",2,-0.01
"AO","trend",3,-0.01
"AO","trend",4,-0.01
"AO","trend",5,-0.01
"AO","trend",6,-0.01
"AO","trend",7,-0.01
"AO","trend",8,-0.01
"AO","trend",9,-0.01
"AO","trend",10,-0.01
"BD","future",0,82.2
"BD","future",1,82.23
"BD","future",2,82.18
"BD","future",3,82.22
"BD","future",4,82.18
"BD","future",5,82.22
"BD","future",6,82.15
"BD","future",7,82.21
"BD","future",8,82.21
"BD","future",9,82.23
"BD","future",10,82.22
"BD","pressures",1,
"BD","pressures",2,
"BD","pressures",3,
"BD","pressures",4,
"BD","pressures",5,
"BD","pressures",6,
"BD","pressures",7,
"BD","pressures",8,
"BD","pressures",9,
"BD","pressures",10,
"BD","resilience",1,
"BD","resilience",2,
"BD","resilience",3,
"BD","resilience",4,
"BD","resilience",5,
"BD","resilience",6,
"BD","resilience",7,
"BD","resilience",8,
"BD","resilience",9,
"BD","resilience",10,
"BD","score",0,78.65
"BD","score",1,78.66
"BD","score",2,78.64
"BD","score",3,78.66
"BD","score",4,78.64
"BD","score",5,78.66
"BD","score",6,78.62
"BD","score",7,78.65
"BD","score",8,78.65
"BD","score",9,78.66
"BD","score",10,78.66
"BD","status",0,75.1
"BD","status",1,75.1
"BD","status",2,75.1
"BD","status",3,75.1
"BD","status",4,75.1
"BD","status",5,75.1
"BD","status",6,75.1
"BD","status",7,75.1
"BD","status",8,75.1
"BD","status",9,75.1
"BD","status",10,75.1
"BD","trend",1,-0.09
"BD","trend",2,-0.09
"BD","trend",3,-0.09
"BD","trend",4,-0.09
"BD","trend",5,-0.09
"BD","trend",6,-0.09
"BD","trend",7,-0.09
"BD","trend",8,-0.09
"BD","trend",9,-0.09
"BD","trend",10,-0.09
"CP","future",0,
"CP","future",1,
"CP","future",2,
"CP","future",3,
"CP","future",4,
"CP","future",5,
"CP","future",6,
"CP","future",7,
"CP","future",8,
"CP","future",9,
"CP","future",10,
"CP","pressures",1,
"CP","pressures",2,
"CP","pressures",3,
"CP","pressures",4,
"CP","pressures",5,
"CP","pressures",6,
"CP","pressures",7,
"CP","pressures",8,
"CP","pressures",9,
"CP","pressures",10,
"CP","resilience",1,79.07
"CP","resilience",2,79.07
"CP","resilience",3,79.07
"CP","resilience",4,79.07
"CP","resilience",5,79.07
"CP","resilience",6,79.07
"CP","resilience",7,79.07
"CP","resilience",8,79.07
"CP","resilience",9,79.07
"CP","resilience",10,79.07
"CP","score",0,
"CP","score",1,
"CP","score",2,
"CP","score",3,
"CP","score",4,
"CP","score",5,
"CP","score",6,
"CP","score",7,
"CP","score",8,
"CP","score",9,
"CP","score",10,
"CP","status",0,50
"CP","status",1,50
"CP","status",2,50
"CP","status",3,50
"CP","status",4,50
"CP","status",5,50
"CP","status",6,50
"CP","status",7,50
"CP","status",8,50
"CP","status",9,50
"CP","status",10,50
"CP","trend",1,
"CP","trend",2,
"CP","trend",3,
"CP","trend",4,
"CP","trend",5,
"CP","trend",6,
"CP","trend",7,
"CP","trend",8,
"CP","trend",9,
"CP","trend",10,
"CS","future",0,
"CS","future",1,
"CS","future",2,
"CS","future",3,
"CS","future",4,
"CS","future",5,
"CS","future",6,
"CS","future",7,
"CS","future",8,
"CS","future",9,
"CS","future",10,
"CS","pressures",1,
"CS","pressures",2,
"CS","pressures",3,
"CS","pressures",4,
"CS","pressures",5,
"CS","pressures",6,
"CS","pressures",7,
"CS","pressures",8,
"CS","pressures",9,
"CS","pressures",10,
"CS","resilience",1,79.07
"CS","resilience",2,79.07
"CS","resilience",3,79.07
"CS","resilience",4,79.07
"CS","resilience",5,79.07
"CS","resilience",6,79.07
"CS","resilience",7,79.07
"CS","resilience",8,79.07
"CS","resilience",9,79.07
"CS","resilience",10,79.07
"CS","score",0,
"CS","score",1,
"CS","score",2,
"CS","score",3,
"CS","score",4,
"CS","score",5,
"CS","score",6,
"CS","score",7,
"CS","score",8,
"CS","score",9,
"CS","score",10,
"CS","status",0,50
"CS","status",1,50
"CS","status",2,50
"CS","status",3,50
"CS","status",4,50
"CS","status",5,50
"CS","status",6,50
"CS","status",7,50
"CS","status",8,50
"CS","status",9,50
"CS","status",10,50
"CS","trend",1,
"CS","trend",2,
"CS","trend",3,
"CS","trend",4,
"CS","trend",5,
"CS","trend",6,
"CS","trend",7,
"CS","trend",8,
"CS","trend",9,
"CS","trend",10,
"CW","future",0,77.43
"CW","future",1,77.43
"CW","future",2,77.43
"CW","future",3,77.43
"CW","future",4,77.43
"CW","future",5,77.43
"CW","future",6,77.43
"CW","future",7,77.43
"CW","future",8,77.43
"CW","future",9,77.43
"CW","future",10,77.43
"CW","pressures",1,66.38
"CW","pressures",2,66.38
"CW","pressures",3,66.38
"CW","pressures",4,66.38
"CW","pressures",5,66.38
"CW","pressures",6,66.38
"CW","pressures",7,66.38
"CW","pressures",8,66.38
"CW","pressures",9,66.38
"CW","pressures",10,66.38
"CW","resilience",1,83.62
"CW","resilience",2,83.62
"CW","resilience",3,83.62
"CW","resilience",4,83.62
"CW","resilience",5,83.62
"CW","resilience",6,83.62
